w1,w2,count,support
N16,N23,22,0.017959183673469388
N17,N20,22,0.017959183673469388
N17,N31,22,0.017959183673469388
N18,N38,22,0.017959183673469388
N18,N42,22,0.017959183673469388
N20,N24,22,0.017959183673469388
N21,N27,22,0.017959183673469388
N21,N35,22,0.017959183673469388
N22,N34,22,0.017959183673469388
N24,N45,22,0.017959183673469388
N25,N33,22,0.017959183673469388
N26,N40,22,0.017959183673469388
N29,N34,22,0.017959183673469388
N29,N38,22,0.017959183673469388
N29,N40,22,0.017959183673469388
N30,N31,22,0.017959183673469388
N31,N43,22,0.017959183673469388
N32,N33,22,0.017959183673469388
N33,N35,22,0.017959183673469388
N33,N36,22,0.017959183673469388
N33,N44,22,0.017959183673469388
N39,N41,22,0.017959183673469388
N40,N41,22,0.017959183673469388
N41,N45,22,0.017959183673469388
N01,N04,21,0.017142857142857144
N01,N08,21,0.017142857142857144
N01,N09,21,0.017142857142857144
N01,N10,21,0.017142857142857144
N01,N26,21,0.017142857142857144
N03,N07,21,0.017142857142857144
N03,N11,21,0.017142857142857144
N03,N14,21,0.017142857142857144
N03,N15,21,0.017142857142857144
N03,N37,21,0.017142857142857144
N03,N45,21,0.017142857142857144
N04,N17,21,0.017142857142857144
N04,N45,21,0.017142857142857144
N05,N26,21,0.017142857142857144
N06,N39,21,0.017142857142857144
N07,N16,21,0.017142857142857144
N07,N26,21,0.017142857142857144
N09,N33,21,0.017142857142857144
N10,N37,21,0.017142857142857144
N11,N14,21,0.017142857142857144
N11,N28,21,0.017142857142857144
N12,N32,21,0.017142857142857144
N13,N34,21,0.017142857142857144
N13,N43,21,0.017142857142857144
N14,N31,21,0.017142857142857144
N14,N33,21,0.017142857142857144
N14,N45,21,0.017142857142857144
N15,N22,21,0.017142857142857144
N15,N25,21,0.017142857142857144
N16,N38,21,0.017142857142857144
N16,N40,21,0.017142857142857144
N16,N43,21,0.017142857142857144
N17,N19,21,0.017142857142857144
N17,N30,21,0.017142857142857144
N17,N34,21,0.017142857142857144
N17,N35,21,0.017142857142857144
N17,N44,21,0.017142857142857144
N18,N20,21,0.017142857142857144
N19,N28,21,0.017142857142857144
N21,N37,21,0.017142857142857144
N22,N38,21,0.017142857142857144
N23,N35,21,0.017142857142857144
N23,N43,21,0.017142857142857144
N23,N44,21,0.017142857142857144
N24,N30,21,0.017142857142857144
N24,N33,21,0.017142857142857144
N24,N40,21,0.017142857142857144
N25,N29,21,0.017142857142857144
N25,N37,21,0.017142857142857144
N26,N31,21,0.017142857142857144
N27,N42,21,0.017142857142857144
N27,N43,21,0.017142857142857144
N28,N42,21,0.017142857142857144
N28,N43,21,0.017142857142857144
N30,N35,21,0.017142857142857144
N31,N37,21,0.017142857142857144
N32,N45,21,0.017142857142857144
N33,N38,21,0.017142857142857144
N33,N45,21,0.017142857142857144
N36,N45,21,0.017142857142857144
N37,N43,21,0.017142857142857144
N38,N39,21,0.017142857142857144
N39,N43,21,0.017142857142857144
N40,N43,21,0.017142857142857144
N01,N18,20,0.0163265306122449
N01,N23,20,0.0163265306122449
N01,N24,20,0.0163265306122449
N01,N40,20,0.0163265306122449
N01,N41,20,0.0163265306122449
N01,N45,20,0.0163265306122449
N02,N06,20,0.0163265306122449
N02,N20,20,0.0163265306122449
N02,N27,20,0.0163265306122449
N02,N45,20,0.0163265306122449
N03,N33,20,0.0163265306122449
N03,N34,20,0.0163265306122449
N03,N38,20,0.0163265306122449
N04,N32,20,0.0163265306122449
N05,N06,20,0.0163265306122449
N05,N18,20,0.0163265306122449
N05,N39,20,0.0163265306122449
N05,N43,20,0.0163265306122449
N05,N45,20,0.0163265306122449
N06,N32,20,0.0163265306122449
N07,N27,20,0.0163265306122449
N07,N37,20,0.0163265306122449
N07,N42,20,0.0163265306122449
N08,N29,20,0.0163265306122449
N08,N38,20,0.0163265306122449
N08,N43,20,0.0163265306122449
N08,N44,20,0.0163265306122449
N10,N15,20,0.0163265306122449
N10,N24,20,0.0163265306122449
N10,N33,20,0.0163265306122449
N10,N36,20,0.0163265306122449
N11,N13,20,0.0163265306122449
N11,N15,20,0.0163265306122449
N11,N16,20,0.0163265306122449
N11,N18,20,0.0163265306122449
N12,N13,20,0.0163265306122449
N12,N14,20,0.0163265306122449
N12,N38,20,0.0163265306122449
N13,N14,20,0.0163265306122449
N13,N15,20,0.0163265306122449
N13,N21,20,0.0163265306122449
N13,N25,20,0.0163265306122449
N13,N31,20,0.0163265306122449
N13,N36,20,0.0163265306122449
N13,N40,20,0.0163265306122449
N14,N32,20,0.0163265306122449
N14,N35,20,0.0163265306122449
N14,N38,20,0.0163265306122449
N15,N37,20,0.0163265306122449
N15,N45,20,0.0163265306122449
N16,N20,20,0.0163265306122449
N16,N28,20,0.0163265306122449
N16,N29,20,0.0163265306122449
