w1,w2,support,count
N08,N17,0.019591836734693877,24
N08,N45,0.019591836734693877,24
N10,N22,0.019591836734693877,24
N11,N26,0.019591836734693877,24
N12,N40,0.019591836734693877,24
N13,N37,0.019591836734693877,24
N13,N45,0.019591836734693877,24
N14,N26,0.019591836734693877,24
N14,N40,0.019591836734693877,24
N15,N19,0.019591836734693877,24
N15,N21,0.019591836734693877,24
N16,N19,0.019591836734693877,24
N16,N24,0.019591836734693877,24
N16,N36,0.019591836734693877,24
N17,N18,0.019591836734693877,24
N17,N27,0.019591836734693877,24
N17,N36,0.019591836734693877,24
N18,N21,0.019591836734693877,24
N18,N23,0.019591836734693877,24
N18,N32,0.019591836734693877,24
N18,N39,0.019591836734693877,24
N24,N44,0.019591836734693877,24
N26,N43,0.019591836734693877,24
N27,N36,0.019591836734693877,24
N30,N33,0.019591836734693877,24
N31,N32,0.019591836734693877,24
N31,N38,0.019591836734693877,24
N31,N44,0.019591836734693877,24
N33,N37,0.019591836734693877,24
N35,N37,0.019591836734693877,24
N35,N43,0.019591836734693877,24
N37,N38,0.019591836734693877,24
N42,N45,0.019591836734693877,24
N01,N34,0.018775510204081632,23
N02,N15,0.018775510204081632,23
N02,N25,0.018775510204081632,23
N02,N33,0.018775510204081632,23
N03,N32,0.018775510204081632,23
N06,N07,0.018775510204081632,23
N06,N13,0.018775510204081632,23
N06,N19,0.018775510204081632,23
N06,N21,0.018775510204081632,23
N06,N40,0.018775510204081632,23
N07,N15,0.018775510204081632,23
N07,N20,0.018775510204081632,23
N07,N22,0.018775510204081632,23
N07,N29,0.018775510204081632,23
N08,N13,0.018775510204081632,23
N08,N18,0.018775510204081632,23
N08,N19,0.018775510204081632,23
N08,N21,0.018775510204081632,23
N08,N31,0.018775510204081632,23
N10,N19,0.018775510204081632,23
N10,N38,0.018775510204081632,23
N12,N39,0.018775510204081632,23
N12,N43,0.018775510204081632,23
N13,N20,0.018775510204081632,23
N13,N39,0.018775510204081632,23
N14,N27,0.018775510204081632,23
N14,N30,0.018775510204081632,23
N14,N39,0.018775510204081632,23
N15,N23,0.018775510204081632,23
N16,N25,0.018775510204081632,23
N16,N31,0.018775510204081632,23
N16,N41,0.018775510204081632,23
N17,N39,0.018775510204081632,23
N18,N26,0.018775510204081632,23
N18,N30,0.018775510204081632,23
N19,N25,0.018775510204081632,23
N19,N42,0.018775510204081632,23
N19,N43,0.018775510204081632,23
N21,N25,0.018775510204081632,23
N21,N26,0.018775510204081632,23
N21,N36,0.018775510204081632,23
N21,N44,0.018775510204081632,23
N22,N37,0.018775510204081632,23
N26,N36,0.018775510204081632,23
N27,N29,0.018775510204081632,23
N27,N37,0.018775510204081632,23
N28,N30,0.018775510204081632,23
N28,N34,0.018775510204081632,23
N29,N44,0.018775510204081632,23
N30,N38,0.018775510204081632,23
N30,N39,0.018775510204081632,23
N30,N41,0.018775510204081632,23
N30,N43,0.018775510204081632,23
N30,N45,0.018775510204081632,23
N34,N45,0.018775510204081632,23
N35,N40,0.018775510204081632,23
N37,N45,0.018775510204081632,23
N38,N40,0.018775510204081632,23
N38,N45,0.018775510204081632,23
N39,N45,0.018775510204081632,23
N01,N13,0.017959183673469388,22
N01,N16,0.017959183673469388,22
N01,N17,0.017959183673469388,22
N01,N20,0.017959183673469388,22
N01,N27,0.017959183673469388,22
N01,N29,0.017959183673469388,22
N01,N35,0.017959183673469388,22
N02,N08,0.017959183673469388,22
N02,N11,0.017959183673469388,22
N02,N16,0.017959183673469388,22
N02,N17,0.017959183673469388,22
N02,N19,0.017959183673469388,22
N02,N28,0.017959183673469388,22
N02,N34,0.017959183673469388,22
N03,N04,0.017959183673469388,22
N03,N10,0.017959183673469388,22
N03,N42,0.017959183673469388,22
N04,N10,0.017959183673469388,22
N04,N16,0.017959183673469388,22
N04,N27,0.017959183673469388,22
N04,N37,0.017959183673469388,22
N06,N12,0.017959183673469388,22
N06,N14,0.017959183673469388,22
N06,N16,0.017959183673469388,22
N06,N22,0.017959183673469388,22
